year,month,day,tempMax,tempMin,rhMax,rhMin,precip,solarRad,windSpeed
1997,3,1,10.65,1.444444444,97.5,58.51,0.762,10.9,4.564267056
1997,3,2,9.872222222,-2.066666667,92.3,36.38,0,19.95,1.859681778
1997,3,3,21.11111111,-2.177777778,89.8,27.75,0,19.44,2.096612389
1997,3,4,10.27222222,2.683333333,81,52.61,0,15.1,5.900913333
1997,3,5,12.02222222,-2.25,82.2,32.61,0,19.87,4.474859278
1997,3,6,16.78888889,-1.955555556,87.2,25.21,0,20.1,3.688070833
1997,3,7,19.88888889,2.85,87.8,32.22,0,18.78,3.728304333
1997,3,8,16.01111111,2.066666667,97.7,87.3,0,4.46,3.281265444
1997,3,9,17.33888889,3.527777778,94,33.93,0,18.77,5.064950611
1997,3,10,21.52222222,-1.244444444,86.1,30.57,0,20.29,2.543651278
1997,3,11,22,2.444444444,92.1,41.49,0,18.65,1.756862833
1997,3,12,21.96111111,6.716666667,96.4,52.35,0,15.93,2.592825556
1997,3,13,15.53888889,1.855555556,96.8,53.21,0,5.05,4.403333056
1997,3,14,4.072222222,-4.566666667,74.48,29.9,0,20.83,6.026084222
1997,3,15,6.266666667,-6.027777778,76.24,32.36,0,21.13,2.270957556
1997,3,16,12.52222222,-3.011111111,80.5,54.56,0,9.47,4.640263667
1997,3,17,22.07222222,9.188888889,92.5,58.26,0,15.5,5.082832167
1997,3,18,15.6,3.633333333,97,50.4,2.54,9.93,6.522297389
1997,3,19,14.42777778,2.305555556,93,55,0,14.93,3.200798444
1997,3,20,27.76111111,2.361111111,95,26.23,0,21.75,1.533343389
1997,3,21,29.41111111,7.533333333,77.26,20.77,0,22.01,3.853475222
1997,3,22,17.61111111,3.816666667,77.36,24.28,0,21.44,2.740348389
1997,3,23,20.86111111,1.727777778,84.7,30.46,0,19.55,2.168138611
1997,3,24,23.78888889,8.622222222,91.6,49.85,10.414,16.88,5.516459889
1997,3,25,14.91111111,2.161111111,77.35,25.67,0,24.66,5.520930278
1997,3,26,19.42777778,0.622222222,79.59,21.88,0,25.06,2.749289167
1997,3,27,21.81111111,6.894444444,77.25,41.82,0.254,20.34,4.6268525
1997,3,28,19.02777778,6.344444444,91.7,29.35,0,24.95,4.488270444
1997,3,29,24.47222222,3.816666667,85.6,33.48,0,22.48,4.693908333
1997,3,30,16.75,0.955555556,94.6,31.16,0,25.52,2.472125056
1997,3,31,20.05,-0.044444444,86.7,24.5,0,24.78,3.625485389
1997,4,1,16.33888889,9.238888889,75.19,51.82,0,8.17,4.886135056
1997,4,2,18.11111111,9.15,93.7,66.18,0,5.71,2.717996444
