year,month,day,tempMax,tempMin,rhMax,rhMin,precip,solarRad,windSpeed,irrigation,surfaceSoilWaterObs,rootzoneSoilWaterObs,canopyCoverObs
2012,10,19,22.4,4.8,74.3,11,0,18.3,2.6,0,,,
2012,10,20,29.3,4.1,83.6,27.9,0,17.3,1.4,0,,,
2012,10,21,31.8,16.8,96.7,45.5,0,15.5,3.9,0,,,
2012,10,22,27.7,19.6,83,38.7,0.3,14.5,3.7,0,,,
2012,10,23,28.9,20,87.2,55,0,13.5,3.8,0,,,
2012,10,24,26.3,19.6,89.8,62.5,0,9.8,4,0,,,
2012,10,25,22.8,5.3,82.7,51.2,0,11,4.7,0,,,
2012,10,26,11.1,0.4,76.9,32.1,0,15.6,4.4,0,,,
2012,10,27,12.3,-4.2,92.9,27,0,16.8,0.9,0,,,
2012,10,28,15.3,-4.2,91.2,25.8,0,15.8,0.6,0,,,
2012,10,29,19.5,-1.2,84.7,20.7,0,15.5,1.2,0,,,
2012,10,30,26.7,2.8,82.2,21.5,0,15.7,1.8,0,,,
2012,10,31,22.6,3.6,80.6,21.8,0,15.6,0.7,0,,320,6.7
2012,11,1,26.6,4.4,84.2,24.8,0,15.2,0.6,0,,,
2012,11,2,30.6,7.2,89.3,23.1,0,15.1,2.3,0,,,
2012,11,3,19.7,5.9,72,25.9,0,15,2.4,0,,,
2012,11,4,21.3,0.5,90,21.5,0,14.9,0.6,0,,,
2012,11,5,16.1,1.8,88.1,42.3,0,14.8,2.5,0,,316,
2012,11,6,21,0,94.6,25.2,0,14.3,1.2,0,,,
2012,11,7,20.3,0.3,87.4,18.6,0,14.5,0.9,0,,,
2012,11,8,26.2,7.6,61.5,31.8,0,13.7,4,0,,,
2012,11,9,26.7,15.2,81.8,45.5,0,13.5,4.2,0,,,
2012,11,10,25.2,18.7,72.2,45.8,0,8.8,5.9,0,,,
2012,11,11,21.6,-1.8,92.9,59.4,11.4,4.8,3.1,0,,,
2012,11,12,11.5,-4.8,96.9,26.8,0,14.3,0.9,0,,,
2012,11,13,14.9,-4.4,96.2,18.2,0,14.6,1.1,0,,,
2012,11,14,16.6,-0.9,83.2,24.5,0,13.8,1.8,0,,,
2012,11,15,18.1,2,83.1,28,0,13.7,1.5,0,,,10.2
2012,11,16,17.8,-2.2,95.9,22.8,0,13.6,0.7,0,,,
2012,11,17,17.2,-0.9,91.9,24.2,0,13.4,2,0,,,
2012,11,18,18.6,7.4,61.7,31.2,0,8.3,3.4,0,,,
2012,11,19,22.5,7.4,92.6,43.6,0,10.5,1.6,0,,,
2012,11,20,23.6,3.5,97.8,24.6,0,12.8,0.5,0,,,
2012,11,21,25.3,1.9,92.1,22.4,0,12.9,2.3,0,,322,
2012,11,22,24.7,12.7,61.8,34.4,0,10.4,4.1,0,,,
2012,11,23,12.9,-3,77.7,22.6,0,13.2,3,0,,,
2012,11,24,16,-6.3,89.9,18.7,0,12.7,2,0,,,
2012,11,25,19.2,2.8,80.4,27.7,0,12.7,1.1,0,,,
2012,11,26,11.5,1,74.4,37,0,7.6,4.3,0,,,
2012,11,27,9.9,-4.5,91.7,34,0,12.5,1.2,0,,,
2012,11,28,16.4,-5.7,91.8,33.1,0,12.3,1.8,0,,,
2012,11,29,22.5,7.4,68,21,0,11.9,2.9,0,,,20.4
2012,11,30,18.6,5.9,90.6,55.5,0,10.8,2.3,0,,,
2012,12,1,25.9,6.5,89.7,35.1,0,8.4,3.5,0,,,
2012,12,2,22.8,2.6,97.6,29.2,0,10.6,1.4,0,,,
2012,12,3,26,13.4,77,30,0,10.7,4.9,0,,,
2012,12,4,19.1,0.1,69.9,15.7,0,12.1,2.4,0,,,
2012,12,5,17.7,-3.1,86.2,15.5,0,10.8,1.2,0,,,
2012,12,6,18.2,5.2,94.3,50.1,0,9.3,2.2,0,,,
2012,12,7,12.3,4.9,95.9,81.9,0,1.5,0.7,0,,,
2012,12,8,11.2,7,93.7,77.1,0,2.8,1.3,0,,,
2012,12,9,9.3,-1.9,95.7,32.1,0.3,3.6,4,0,,,
2012,12,10,2.1,-9.5,71.3,20.3,0,12,2.3,0,,,
2012,12,11,11.1,-11,80.6,18.5,0,11.7,0.9,0,,,
2012,12,12,12.7,-3.4,55.7,20.1,0,11.7,2.7,0,,,
2012,12,13,18,3.2,48.1,21.2,0,11.5,3.6,0,,,36.3
2012,12,14,13.9,8.3,91.9,33,1.5,2.2,4.1,0,,,
2012,12,15,18.3,5.5,90.6,34.2,0,10.3,3.2,0,,,
2012,12,16,17.1,2.5,83.1,28.7,0,11.3,1.9,0,,,
2012,12,17,14.6,-1.7,96.5,31.9,0,11.4,1.5,0,,,
2012,12,18,17,-3.6,92.6,23.7,0,11.4,1,0,,,
2012,12,19,19.6,-1.6,83.9,38.4,0,2.4,3,0,,,
2012,12,20,7.2,-7.3,75.8,17.3,0,11.9,4.6,0,,,
2012,12,21,18.2,-10,81.2,10.2,0,11.8,0.9,0,,,
2012,12,22,17.2,-7.7,75.6,11.5,0,10.6,1.5,0,,,
2012,12,23,9.5,-4.8,79.1,35.8,0,11.4,1.8,0,,,
2012,12,24,4.6,-6.2,83.6,41.3,0,8.2,3.1,0,,,
2012,12,25,-1.4,-6.1,78.5,55.3,0,1.7,6.1,0,,,
2012,12,26,-1.3,-11.3,77.1,38.5,0,9.5,2,0,,,
2012,12,27,3,-7.4,88,58.2,0,5.8,2.5,0,,,
2012,12,28,2.1,-5.7,89.4,35.4,0,7.1,2.5,0,,,
2012,12,29,7.5,-10.4,80.7,28.1,0,11.8,1.2,0,,,
2012,12,30,8.2,-10.9,87.8,26.5,0,6.3,2.3,0,,,
2012,12,31,4.8,2,97.1,51.2,9.1,1.1,1.4,0,,,
2013,1,1,3.4,-6,97.9,83.4,0.3,2.4,2,0,,,
