year,month,day,tempMax,tempMin,rhMax,rhMin,solarRad,windSpeed,precip
1997,3,1,12.57222222,2.477777778,100,72.56,9.42,2.570473611,0.762
1997,3,2,10.57222222,-2.011111111,99.3,27.35,10.13,2.078730833,0
1997,3,3,21.13888889,-3.716666667,100,21.94,19.85,1.689807,0
1997,3,4,12.5,4.116666667,87.8,45.75,14.91,4.130639333,0
1997,3,5,10.1,-2.027777778,98.4,35.39,20.15,3.451140222,0
1997,3,6,17.83888889,-3.916666667,99.9,18.11,20.49,1.993793444,0
1997,3,7,18.96111111,4.111111111,78.91,31.12,11.37,3.366202833,0
1997,3,8,17.52222222,0.044444444,100,80,5.62,2.628588667,0.254
1997,3,9,19.3,1.161111111,98.9,34.5,17.13,4.318395667,0
1997,3,10,21.16111111,-3.138888889,100,21.89,21.29,1.265120056,0
1997,3,11,26.61111111,1.483333333,99.6,21.54,19.7,0.818081167,0
1997,3,12,23.17222222,4.533333333,100,17.41,12.53,1.797096333,0
1997,3,13,15.36111111,2.655555556,100,79.5,4.26,2.945986278,0.254
1997,3,14,4.872222222,-3.394444444,79.56,27.57,20.79,5.507519111,0
1997,3,15,8.072222222,-4.627777778,74.61,25.04,22.08,2.633059056,0
1997,3,16,10.21111111,-2.111111111,97.8,42.64,7.18,3.750656278,0
1997,3,17,18.93888889,7.344444444,99.7,74.57,7.77,3.728304333,0
1997,3,18,19.63888889,4.005555556,99.4,74.48,3.91,4.832490389,0.254
1997,3,19,15.03888889,2.661111111,99.5,49.3,17.66,2.677762944,0
1997,3,20,27.55,-0.683333333,100,16.6,22.14,0.956663222,0
1997,3,21,33.38888889,10.12777778,66.62,10.44,17.77421875,3.227620778,0
1997,3,22,19.05,3.8,85.3,14.23,20.42,3.348321278,0
1997,3,23,23.57777778,0.038888889,98.2,20.56,20.15,1.846270611,0
1997,3,24,25.25,10.58888889,99.6,37.09,15.7,5.663982722,16.764
1997,3,25,14.72222222,0.738888889,99.2,27.06,23.49,4.980013222,0.508
1997,3,26,20.06111111,-2.133333333,100,17.33,24.52,1.426054056,0
1997,3,27,23.42777778,7.144444444,72.33,27.72,18.42,4.322866056,0
1997,3,28,19.52222222,4.666666667,95.6,24.56,23.71,3.147153778,0
1997,3,29,26.4,1.266666667,100,19.61,22.58,3.495844111,3.556
1997,3,30,16.76111111,2.538888889,97.5,27.11,25.11,3.066686778,0
1997,3,31,21.87222222,-1.433333333,100,14.98,24.47,2.682233333,0
1997,4,1,19.32222222,8.911111111,59.62,32.12,10.09,3.992057278,0
1997,4,2,21.98888889,10.58888889,91.4,46.68,12.47,2.369306111,0
1997,4,3,24.17222222,12.51111111,97.2,36.91,14.56,2.507888167,1.27
